Zip,City,State,Latitude,Longitude
89570,Reno,NV,40.541218,-119.586934
89835,Wells,NV,41.208288,-114.86098
89148,Las Vegas,NV,36.049095,-115.28485
89147,Las Vegas,NV,36.113059,-115.27343
89599,Reno,NV,40.541218,-119.586934
89420,Luning,NV,38.555308,-118.21818
89103,Las Vegas,NV,36.113211,-115.21849
89112,Las Vegas,NV,36.157764,-115.025559
89711,Carson City,NV,39.167833,-119.776409
89803,Elko,NV,40.81488,-115.79241
89008,Caliente,NV,37.488849,-114.45374
89132,Las Vegas,NV,36.018981,-115.151937
89158,Las Vegas,NV,35.927901,-114.972061
89714,Carson City,NV,39.167833,-119.776409
89199,Las Vegas,NV,35.927901,-114.972061
89004,Blue Diamond,NV,36.046247,-115.40483
89040,Overton,NV,36.540495,-114.45478
89317,Lund,NV,38.835421,-115.02628
89009,Henderson,NV,35.927901,-114.972061
89047,Silverpeak,NV,37.751386,-117.64225
89412,Gerlach,NV,40.652505,-119.356505
89510,Reno,NV,39.87107,-119.71313
89043,Pioche,NV,38.122239,-114.40318
89146,Las Vegas,NV,36.141119,-115.22493
89413,Glenbrook,NV,39.083284,-119.93964
89318,McGill,NV,39.4163,-114.77624
89515,Reno,NV,40.541218,-119.586934
89501,Reno,NV,39.52616,-119.81367
89521,Reno,NV,39.395387,-119.72735
89012,Henderson,NV,36.017578,-115.05438
89032,North Las Vegas,NV,36.224218,-115.1763
88905,The Lakes,NV,35.927901,-114.972061
89017,Hiko,NV,37.592182,-115.28676
89053,Henderson,NV,35.927901,-114.972061
89503,Reno,NV,39.53636,-119.8373
89113,Las Vegas,NV,36.067495,-115.26039
89150,Las Vegas,NV,35.927901,-114.972061
89145,Las Vegas,NV,36.167731,-115.26791
89405,Empire,NV,40.555197,-119.35093
89301,Ely,NV,39.282855,-114.9208
89117,Las Vegas,NV,36.140974,-115.28205
89432,Sparks,NV,40.541218,-119.586934
89023,Mercury,NV,37.583805,-116.598559
89126,Las Vegas,NV,35.927901,-114.972061
88901,The Lakes,NV,36.322484,-114.819717
89027,Mesquite,NV,36.804651,-114.08749
89440,Virginia City,NV,39.298192,-119.65351
89433,Sun Valley,NV,39.59218,-119.77467
89824,Halleck,NV,41.029538,-115.4113
89436,Sparks,NV,39.624698,-119.70585
89802,Elko,NV,41.059414,-115.529596
89833,Ruby Valley,NV,40.453542,-115.33257
89007,Bunkerville,NV,36.766887,-114.13298
89116,Las Vegas,NV,35.927901,-114.972061
89513,Reno,NV,39.631922,-119.293722
89422,Mina,NV,38.271173,-118.19513
89003,Beatty,NV,37.027453,-116.84011
89131,Las Vegas,NV,36.294596,-115.24685
89421,McDermitt,NV,41.953624,-117.72501
89010,Dyer,NV,37.751707,-118.08592
89520,Reno,NV,40.541218,-119.586934
89111,Las Vegas,NV,35.927901,-114.972061
89115,Las Vegas,NV,36.233655,-115.06881
89815,Spring Creek,NV,40.644201,-115.64745
89119,Las Vegas,NV,36.088922,-115.13905
89061,Pahrump,NV,36.119299,-115.938992
89130,Las Vegas,NV,36.257531,-115.22728
89102,Las Vegas,NV,36.145303,-115.18358
89170,Las Vegas,NV,35.927901,-114.972061
89564,Reno,NV,40.541218,-119.586934
89595,Reno,NV,40.541218,-119.586934
89706,Carson City,NV,39.200035,-119.72732
89447,Yerington,NV,38.94675,-119.11544
89163,The Lakes,NV,35.927901,-114.972061
89122,Las Vegas,NV,36.10524,-115.04592
89319,Ruth,NV,39.342631,-114.885945
89415,Hawthorne,NV,38.505507,-118.70342
89506,Reno,NV,39.659801,-119.87918
89834,Tuscarora,NV,41.328852,-116.12251
89025,Moapa,NV,36.674946,-114.66488
89013,Goldfield,NV,37.571495,-117.31507
89195,Las Vegas,NV,35.927901,-114.972061
89101,Las Vegas,NV,36.17022,-115.12785
89821,Crescent Valley,NV,40.450972,-116.51585
89721,Carson City,NV,39.167833,-119.776409
89120,Las Vegas,NV,36.087623,-115.08872
89702,Carson City,NV,39.135503,-119.75875
89048,Pahrump,NV,36.218341,-116.00994
89108,Las Vegas,NV,36.205718,-115.22363
89118,Las Vegas,NV,36.084361,-115.2103
89001,Alamo,NV,37.381946,-115.31502
89036,North Las Vegas,NV,35.927901,-114.972061
89316,Eureka,NV,39.717627,-116.02944
89825,Jackpot,NV,41.890872,-114.44545
89016,Henderson,NV,35.927901,-114.972061
89193,Las Vegas,NV,35.927901,-114.972061
89424,Nixon,NV,39.835829,-119.35634
89138,Las Vegas,NV,35.927901,-114.972061
89070,Indian Springs,NV,35.927901,-114.972061
89410,Gardnerville,NV,38.878641,-119.69753
89460,Gardnerville Ranchos,NV,38.903324,-119.763147
89713,Carson City,NV,39.167833,-119.776409
89173,Las Vegas,NV,35.927901,-114.972061
89402,Crystal Bay,NV,39.239457,-119.971133
89430,Smith,NV,38.784128,-119.31697
89153,Las Vegas,NV,35.927901,-114.972061
89081,Indian Springs,NV,36.573377,-115.674671
89418,Imlay,NV,40.700131,-118.11473
89160,Las Vegas,NV,35.927901,-114.972061
89419,Lovelock,NV,40.21672,-118.39475
89912,Gerlach-Empire,NV,40.651432,-119.357959
89028,Laughlin,NV,35.013978,-114.6447
89883,West Wendover,NV,40.854751,-114.14713
89084,North Las Vegas,NV,36.281388,-115.148644
89509,Reno,NV,39.496243,-119.83072
89039,Cal Nev Ari,NV,35.28299,-114.87299
89018,Indian Springs,NV,36.573712,-115.67024
89052,Henderson,NV,35.979863,-115.09895
89177,Las Vegas,NV,35.927901,-114.972061
89496,Fallon,NV,39.537979,-118.343592
89114,Las Vegas,NV,36.011339,-115.101508
89409,Gabbs,NV,38.872139,-117.78194
89423,Minden,NV,39.009564,-119.75557
89450,Incline Village,NV,39.256357,-119.946371
89151,Las Vegas,NV,35.927901,-114.972061
89110,Las Vegas,NV,36.172744,-115.05795
89155,Las Vegas,NV,35.927901,-114.972061
89107,Las Vegas,NV,36.171219,-115.21682
89828,Lamoille,NV,40.79727,-115.44828
89180,Las Vegas,NV,35.927901,-114.972061
89512,Reno,NV,39.54641,-119.79664
89425,Orovada,NV,41.656001,-117.95538
89049,Tonopah,NV,38.307931,-116.92779
89710,Carson City,NV,39.167833,-119.776409
89427,Schurz,NV,38.966064,-118.67848
89404,Denio,NV,41.826461,-118.71295
89042,Panaca,NV,37.785734,-114.38399
89701,Carson City,NV,39.147877,-119.74536
89021,Logandale,NV,36.616546,-114.47184
89030,North Las Vegas,NV,36.206419,-115.12318
89801,Elko,NV,40.883028,-115.75016
89159,Las Vegas,NV,35.927901,-114.972061
89128,Las Vegas,NV,36.193501,-115.265
89831,Mountain City,NV,41.796309,-116.05489
89022,Manhattan,NV,38.738647,-117.0789
89152,Las Vegas,NV,35.927901,-114.972061
89403,Dayton,NV,39.25468,-119.51494
89125,Las Vegas,NV,36.223528,-115.265529
89310,Austin,NV,39.748753,-117.01152
89445,Winnemucca,NV,41.02951,-117.94402
89141,Las Vegas,NV,35.998778,-115.19588
89104,Las Vegas,NV,36.151108,-115.10857
89031,North Las Vegas,NV,36.256479,-115.16139
89139,Las Vegas,NV,36.031873,-115.20342
89822,Carlin,NV,40.715963,-116.11426
89029,Laughlin,NV,35.138674,-114.62875
89429,Silver Springs,NV,39.367838,-119.24618
89133,Las Vegas,NV,35.927901,-114.972061
89533,Reno,NV,39.543941,-119.906109
89086,North Las Vegas,NV,36.28094,-115.132695
89015,Henderson,NV,36.030927,-114.96787
89045,Round Mountain,NV,37.583805,-116.598559
89820,Battle Mountain,NV,40.489736,-117.08692
89041,Pahrump,NV,36.655797,-116.004795
89137,Las Vegas,NV,35.927901,-114.972061
89005,Boulder City,NV,35.968615,-114.83354
89407,Fallon,NV,39.525628,-118.842431
89311,Baker,NV,38.941805,-114.12592
89507,Reno,NV,39.54231,-119.816374
89502,Reno,NV,39.499862,-119.77497
89314,Duckwater,NV,38.944921,-115.70749
89426,Paradise Valley,NV,41.596722,-117.40232
89020,Amargosa Valley,NV,36.52513,-116.46173
89434,Sparks,NV,39.544183,-119.70003
89129,Las Vegas,NV,36.231139,-115.28461
89411,Genoa,NV,39.012361,-119.83288
89154,Las Vegas,NV,35.927901,-114.972061
89019,Jean,NV,35.801952,-115.57819
89408,Fernley,NV,39.617711,-119.17374
89523,Reno,NV,39.523088,-119.89808
89156,Las Vegas,NV,36.201612,-115.03358
89026,Jean,NV,35.927901,-114.972061
89505,Reno,NV,39.52241,-119.835275
89315,Ely,NV,39.332636,-114.824507
89124,Las Vegas,NV,36.101538,-115.39948
89511,Reno,NV,39.403178,-119.7606
89144,Las Vegas,NV,36.181142,-115.32557
89451,Incline Village,NV,39.245257,-119.95204
89127,Las Vegas,NV,35.927901,-114.972061
89006,Boulder City,NV,35.927901,-114.972061
89191,Nellis AFB,NV,36.370315,-115.23128
89830,Montello,NV,41.247573,-114.21077
89414,Golconda,NV,40.926644,-117.31706
89109,Las Vegas,NV,36.126038,-115.14796
89149,Las Vegas,NV,36.266266,-115.28656
89448,Zephyr Cove,NV,39.006963,-119.94762
89142,Las Vegas,NV,36.148417,-115.04767
89712,Carson City,NV,39.167833,-119.776409
89705,Carson City,NV,39.091507,-119.79896
89074,Henderson,NV,36.038181,-115.086999
89406,Fallon,NV,39.461072,-118.69306
89143,Las Vegas,NV,36.326315,-115.25788
89135,Las Vegas,NV,36.131341,-115.32331
89033,North Las Vegas,NV,36.284511,-115.134488
89704,Washoe Valley,NV,39.27521,-119.7908
89823,Deeth,NV,41.252236,-115.40266
89442,Wadsworth,NV,39.659593,-119.30527
89011,Henderson,NV,36.121607,-114.92514
89121,Las Vegas,NV,36.121972,-115.0903
89557,Reno,NV,40.541218,-119.586934
89136,Summerlin South,NV,36.129519,-115.322782
89826,Jarbidge,NV,41.905845,-115.43542
89014,Henderson,NV,36.045811,-115.0778
89452,Incline Village,NV,39.259103,-119.956585
89435,Sparks,NV,40.541218,-119.586934
89134,Las Vegas,NV,36.204548,-115.31207
89449,Stateline,NV,38.968383,-119.91364
89779,Kingsbury,NV,38.971319,-119.922973
89832,Owyhee,NV,41.951703,-116.17725
89060,Pahrump,NV,36.264185,-116.038857
89444,Wellington,NV,38.738712,-119.34585
89428,Silver City,NV,39.262835,-119.64083
89703,Carson City,NV,39.164966,-119.79382
89446,Winnemucca,NV,41.076358,-117.760165
89438,Valmy,NV,41.263287,-118.174506
89431,Sparks,NV,39.542711,-119.75445
89123,Las Vegas,NV,36.026532,-115.14848
89185,Las Vegas,NV,35.927901,-114.972061
89046,Searchlight,NV,35.525338,-114.91149
89164,Las Vegas,NV,35.927901,-114.972061
89504,Reno,NV,40.541218,-119.586934
89106,Las Vegas,NV,36.184219,-115.16292
